/usr/sbin/mysqld, Version: 8.0.27 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2021-12-30T05:40:49.210870Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("75","75","50030")
2021-12-30T05:40:49.239970Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.240599Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("76","76","44646")
2021-12-30T05:40:49.243528Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.244242Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("77","77","7272")
2021-12-30T05:40:49.260669Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.261157Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("78","78","53747")
2021-12-30T05:40:49.274440Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.274914Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("79","79","42825")
2021-12-30T05:40:49.277553Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.278006Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("80","80","8978")
2021-12-30T05:40:49.280893Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.281315Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("81","81","35441")
2021-12-30T05:40:49.284171Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.284579Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("82","82","8569")
2021-12-30T05:40:49.301899Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.302342Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("83","83","35359")
2021-12-30T05:40:49.345941Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.346369Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("84","84","50320")
2021-12-30T05:40:49.349850Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.350263Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("85","85","56934")
2021-12-30T05:40:49.386690Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.387153Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("86","86","81412")
2021-12-30T05:40:49.390172Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.390589Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("87","87","71115")
2021-12-30T05:40:49.394965Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.395379Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("88","88","61709")
2021-12-30T05:40:49.398543Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.398966Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("89","89","79778")
2021-12-30T05:40:49.402142Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.402611Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("90","90","67865")
2021-12-30T05:40:49.405767Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.406265Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("91","91","48959")
2021-12-30T05:40:49.459436Z	 8270 Query	SELECT @@session.transaction_read_only
